prospect_id,pharmacy_name,address,district,city,maps_url,phone_public,icp_fit,research_status,moved_to_crm,source,notes
TN-R001,,,,,,,,,found,no,maps,Ví dụ — xóa khi có bản thật
TN-R002,,,,,,,,,found,no,maps,
TN-R003,,,,,,,,,found,no,maps,
TN-R004,,,,,,,,,found,no,maps,
TN-R005,,,,,,,,,found,no,maps,
TN-R006,,,,,,,,,found,no,maps,
TN-R007,,,,,,,,,found,no,maps,
TN-R008,,,,,,,,,found,no,maps,
TN-R009,,,,,,,,,found,no,maps,
TN-R010,,,,,,,,,found,no,maps,
TN-R011,,,,,,,,,found,no,maps,
TN-R012,,,,,,,,,found,no,maps,
TN-R013,,,,,,,,,found,no,maps,
TN-R014,,,,,,,,,found,no,maps,
TN-R015,,,,,,,,,found,no,maps,
TN-R016,,,,,,,,,found,no,maps,
TN-R017,,,,,,,,,found,no,maps,
TN-R018,,,,,,,,,found,no,maps,
TN-R019,,,,,,,,,found,no,maps,
TN-R020,,,,,,,,,found,no,maps,
TN-R021,,,,,,,,,found,no,maps,
TN-R022,,,,,,,,,found,no,maps,
TN-R023,,,,,,,,,found,no,maps,
TN-R024,,,,,,,,,found,no,maps,
TN-R025,,,,,,,,,found,no,maps,
TN-R026,,,,,,,,,found,no,maps,
TN-R027,,,,,,,,,found,no,maps,
TN-R028,,,,,,,,,found,no,maps,
TN-R029,,,,,,,,,found,no,maps,
TN-R030,,,,,,,,,found,no,maps,
TN-R031,,,,,,,,,found,no,maps,
TN-R032,,,,,,,,,found,no,maps,
TN-R033,,,,,,,,,found,no,maps,
TN-R034,,,,,,,,,found,no,maps,
TN-R035,,,,,,,,,found,no,maps,
TN-R036,,,,,,,,,found,no,maps,
TN-R037,,,,,,,,,found,no,maps,
TN-R038,,,,,,,,,found,no,maps,
TN-R039,,,,,,,,,found,no,maps,
TN-R040,,,,,,,,,found,no,maps,
TN-R041,,,,,,,,,found,no,maps,
TN-R042,,,,,,,,,found,no,maps,
TN-R043,,,,,,,,,found,no,maps,
TN-R044,,,,,,,,,found,no,maps,
TN-R045,,,,,,,,,found,no,maps,
TN-R046,,,,,,,,,found,no,maps,
TN-R047,,,,,,,,,found,no,maps,
TN-R048,,,,,,,,,found,no,maps,
TN-R049,,,,,,,,,found,no,maps,
TN-R050,,,,,,,,,found,no,maps,
